"Include jQuery","Include jQuery"
"Add Slide","Add Slide"
"Allows you to include the jQuery library. Enable this options if your store is not currently using it.","Allows you to include the jQuery library. Enable this options if your store is not currently using it."
"Change status","Change status"
"Delete","Delete"
"Delete Image","Delete Image"
"Delete Slide","Delete Slide"
"Disabled","Disabled"
"Enabled","Enabled"
"Example: /directory (do not use slash at the end). This directory gonna be placed into the /media directory.","Example: /directory (do not use slash at the end). This directory gonna be placed into the /media directory."
"Filename","Filename"
"From","From"
"Height","Height"
"Height size (in px) used on main image.","Height size (in px) used on main image."
"Height size (in px) used on thumbnails into the admin grid.","Height size (in px) used on thumbnails into the admin grid."
"ID","ID"
"Images folder","Images folder"
"Javascript","Javascript"
"Name","Name"
"No","No"
"Options","Options"
"Plugin","Plugin"
"Position","Position"
"Save Slide","Save Slide"
"Select which plugin will be used for the Slider.","Select which plugin will be used for the Slider."
"Slide does not exist","Slide does not exist"
"Slide Information","Slide Information"
"Slide was successfully deleted","Slide was successfully deleted"
"Slide was successfully saved","Slide was successfully saved"
"Slider","Slider"
"Slider Image Settings","Slider Image Settings"
"Slider Information","Slider Information"
"Slider Manager","Slider Manager"
"Status","Status"
"Thumbnail Image Settings","Thumbnail Image Settings"
"To","To"
"Url","Url"
"Width","Width"
"Width size (in px) used on main image.","Width size (in px) used on main image."
"Width size (in px) used on thumbnails into the admin grid.","Width size (in px) used on thumbnails into the admin grid."
"Yes","Yes"
